cell_type,gene_id,gene_name,gene_description,,,,,,,,,,,
Protoxylem,AT1G51640,ATEXO70G2,,,,,,,,,,,,
Protoxylem,AT1G66810,AT1G66810,,,,,,,,,,,,
Protoxylem,AT5G62380,NAC101,"The NAC101 (NAC Domain-Containing Protein 101) gene encodes a transcription factor belonging to the NAC family, which is involved in the regulation of various aspects of plant growth and development. The specific function of NAC101 in Arabidopsis thaliana is not well-characterized.",,,,,,,,,,,
Protoxylem,AT1G68600,ALMT5,"The ALMT5 (Aluminum-Activated Malate Transporter 5) gene encodes a malate transporter involved in the transport of malate across the plasma membrane. ALMT5 is implicated in the regulation of various cellular processes such as ion homeostasis, nutrient uptake, and stress responses.",,,,,,,,,,,
Protoxylem,AT5G46115,AT5G46115,,,,,,,,,,,,
Protoxylem,AT5G08480,VQ31,"The VQ31 (VQ Motif-Containing Protein 31) gene encodes a protein containing a conserved VQ motif, which is involved in protein-protein interactions. The specific function of VQ31 in Arabidopsis thaliana is not well-characterized.",,,,,,,,,,,
Protoxylem,AT1G73410,ATMYB54,"The ATMYB54 (Arabidopsis thaliana Myb Domain Protein 54) gene encodes a transcription factor belonging to the MYB family, which is involved in the regulation of various aspects of plant growth and development, such as gene expression, cell differentiation, and stress responses.",,,,,,,,,,,
Protoxylem,AT1G63910,AtMYB103,"The AtMYB103 (Arabidopsis thaliana Myb Domain Protein 103) gene encodes a transcription factor belonging to the MYB family, which is involved in the regulation of various aspects of plant growth and development. AtMYB103 is specifically implicated in the regulation of cell differentiation during anther development",,,,,,,,,,,
Protoxylem,AT3G26125,CYP86C2,"The CYP86C2 gene in Arabidopsis thaliana encodes a protein with a cytochrome P450 domain. Cytochrome P450 proteins are involved in various metabolic processes, including the synthesis of lipids, sterols, hormones, and the detoxification of xenobiotics. Although the specific function of CYP86C2 in Arabidopsis thaliana is not well-defined, it is part of the cytochrome P450 superfamily, which has been studied for its expression patterns in different organs, tissues, stress responses, and hormone responses. Further research is needed to determine the exact role of CYP86C2 in Arabidopsis thaliana.",,,,,,,,,,,
Protoxylem,AT5G09480,AT5G09480,,,,,,,,,,,,
Protoxylem,AT5G01730,SCAR4,"SCAR4: The SCAR4 (Suppressor of CAMP Receptor 4) gene encodes a protein involved in the regulation of actin cytoskeleton organization and dynamics, which are essential for various aspects of plant growth and development, such as cell division, expansion, and morphogenesis. SCAR4 is part of the SCAR/WAVE complex, which promotes the formation of branched actin networks.",,,,,,,,,,,
Protoxylem,AT3G52900,AT3G52900,,,,,,,,,,,,
Protoxylem,AT5G11540,GULLO3,"The GULLO3 (L-gulono-1,4-lactone oxidase 3) gene encodes an enzyme involved in the synthesis of ascorbic acid (vitamin C), which is an essential antioxidant and enzyme cofactor in plants. GULLO3 contributes to the regulation of ascorbic acid biosynthesis, playing a role in plant growth, development, and stress responses.",,,,,,,,,,,
Protoxylem,AT3G15050,IQD10,"The IQD10 (IQ-Domain 10) gene encodes a protein containing an IQ motif, which is involved in protein-protein interactions, particularly with calmodulin and other calcium-binding proteins. IQD10 is implicated in the regulation of various aspects of plant growth and development, such as cell expansion and division, through the modulation of calcium signaling.",,,,,,,,,,,
Protoxylem,AT4G36540,BEE2,"The BEE2 (Brassinosteroid-Enhanced Expression 2) gene encodes a transcription factor involved in the brassinosteroid signaling pathway, which is a hormone that regulates various aspects of plant growth and development, such as cell division, elongation, and differentiation. BEE2 is implicated in the regulation of brassinosteroid-responsive gene expression and the modulation of plant growth and development.",,,,,,,,,,,
Protoxylem,AT1G59850,AT1G59850,,,,,,,,,,,,
Protoxylem,AT5G38610,AT5G38610,,,,,,,,,,,,
Protoxylem,AT5G43070,WPP1,"The WPP1 (WPP Domain Protein 1) gene encodes a protein containing a conserved WPP domain, which is involved in protein-protein interactions. WPP1 is implicated in the regulation of nuclear envelope dynamics, nuclear organization, and chromatin structure, playing a role in various aspects of plant growth and development.",,,,,,,,,,,
PSE,AT5G17260,NAC086,"The NAC086 (Arabidopsis NAC Domain-Containing Protein 86) gene encodes a transcription factor belonging to the NAC family, which is involved in the regulation of various aspects of plant growth and development. The specific function of NAC086 in Arabidopsis thaliana is not well-characterized.",,,,,,,,,,,
PSE,AT3G03200,NAC45,"NAC45 and NAC86: These are redundant NAC domain-containing transcription factors that play a crucial role in sieve element differentiation. They orchestrate cellular reorganizations, including enucleation, organelle rearrangement, and cytosol degradation. NAC45/86 target a family of genes encoding proteins with nuclease domains, which are required for enucleation",,,,,,,,,,,
PSE,AT3G01680,ATSEOR1,"The ATSEOR1 (Arabidopsis thaliana Selenocysteine Methyltransferase 1) gene encodes an enzyme involved in the methylation of selenocysteine, an amino acid that is a key component of certain selenoproteins. ATSEOR1 is implicated in the regulation of selenocysteine metabolism and various aspects of plant growth and development.",,,,,,,,,,,
PSE,AT2G37590,DOF2.4,"DOF2.4: This gene encodes a PEAR protein involved in the formation of a short-range concentration gradient that peaks at protophloem sieve elements. It activates gene expression promoting radial growth and locally promotes transcription of inhibitory HD-ZIP III genes, establishing a negative-feedback loop that forms a robust boundary demarking the zone of cell division",,,,,,,,,,,
PSE,AT3G22400,LOX5,"The LOX5 (Lipoxygenase 5) gene encodes an enzyme involved in the synthesis of oxylipins, which are signaling molecules derived from the oxidation of fatty acids. LOX5 is implicated in the regulation of various aspects of plant growth, development, and stress responses, particularly in response to biotic and abiotic stresses.",,,,,,,,,,,
QC,AT1G68640,PAN,"The PAN (PANICLE) gene encodes a transcription factor involved in the regulation of plant reproductive development, particularly the formation of inflorescences and the determination of floral meristem identity. PAN plays a role in controlling the architecture of the inflorescence and the number of flowers produced.",,,,,,,,,,,
QC,AT3G26120,TEL1,"The TEL1 (Telomere Length Regulation Protein 1) gene encodes a protein involved in the maintenance of telomere length, which is essential for the stability of linear chromosomes in eukaryotic cells. TEL1 plays a role in various aspects of plant growth, development, and genome stability.",,,,,,,,,,,
QC,AT5G23780,DUF9,,,,,,,,,,,,
QC,AT5G17430,BBM,"The BBM (Baby Boom) gene encodes a transcription factor belonging to the AP2/ERF family, which is involved in the regulation of various aspects of plant growth and development. BBM is particularly implicated in the regulation of embryogenesis and somatic embryogenesis, as well as in the control of cell proliferation and differentiation.",,,,,,,,,,,
QC,AT2G03830,RGF8,"The RGF8 (Root Meristem Growth Factor 8) gene encodes a small signaling peptide involved in cell-to-cell communication. RGF8 is implicated in the regulation of root growth and development, particularly in the maintenance and differentiation of root stem cells and the root meristem.",,,,,,,,,,,
QC,AT2G23050,NPY4,"The NPY4 (Naked Pins in Yucatan 4) gene encodes a protein involved in the regulation of auxin signaling, which is a hormone that controls various aspects of plant growth and development. NPY4 is implicated in the regulation of auxin distribution and the modulation of auxin-responsive gene expression, playing a role in root and shoot growth and development.",,,,,,,,,,,
QC,AT1G30530,UGT78D1,"The UGT78D1 (UDP-Glycosyltransferase 78D1) gene encodes an enzyme involved in the glycosylation of various small molecules, such as flavonoids and other secondary metabolites. UGT78D1 plays a role in the regulation of secondary metabolism and various aspects of plant growth, development, and stress responses.",,,,,,,,,,,
QC,AT5G25900,KO,"The KO (Ent-Kaurene Oxidase) gene encodes an enzyme involved in the biosynthesis of gibberellins, which are plant hormones that regulate various aspects of plant growth and development, such as cell elongation, germination, and flowering. KO is implicated in the regulation of gibberellin biosynthesis and the modulation of plant growth and development.",,,,,,,,,,,
QC,AT5G45780,AT5G45780,,,,,,,,,,,,
QC,AT1G11420,ATDUF2,The ATDUF2 (Arabidopsis thaliana Domain of Unknown Function 2) gene encodes a protein containing a conserved domain of unknown function. The specific function of ATDUF2 in Arabidopsis thaliana or any other organism is not well-characterized.,,,,,,,,,,,
QC,AT3G13510,AT3G13510,,,,,,,,,,,,
QC,AT3G30350,RGF4,"The RGF4 (Root Meristem Growth Factor 4) gene encodes a small signaling peptide involved in cell-to-cell communication. RGF4 is implicated in the regulation of root growth and development, particularly in the maintenance and differentiation of root stem cells and the root meristem.",,,,,,,,,,,
QC,AT1G16070,TULP8,"The TULP8 (Tubby Like Protein 8) gene encodes a protein belonging to the Tubby-like protein family, which is involved in the regulation of various aspects of plant growth and development, as well as in stress responses. The specific function of TULP8 in Arabidopsis thaliana is not well-characterized.",,,,,,,,,,,
QC,AT1G75580,AT1G75580,,,,,,,,,,,,
QC,AT3G11260,WOX5,"The WOX5 (WUSCHEL-Related Homeobox 5) gene encodes a transcription factor involved in the regulation of root growth and development, particularly in the maintenance and differentiation of root stem cells and the root meristem. WOX5 is essential for the proper formation of the quiescent center in the root, which is crucial for the maintenance of the root stem cell niche.",,,,,,,,,,,
QC,AT5G62165,AGL42,"In Arabidopsis thaliana, the AGL42 gene encodes a MADS box transcription factor. It is expressed in the quiescent center and is involved in the floral transition process and flowering time.",,,,,,,,,,,
QC,AT1G55200,AT1G55200,,,,,,,,,,,,
SCN,AT5G51451,RGF5,"The RGF5 (Root Meristem Growth Factor 5) gene encodes a small signaling peptide involved in the regulation of root meristem development and the maintenance of stem cell populations. In Arabidopsis thaliana, RGF5 is specifically implicated in the control of root growth and development.",,,,,,,,,,,
SCN,AT5G60810,RGF1,"The RGF1 (Root Meristem Growth Factor 1) gene encodes a small signaling peptide similar to RGF5. In Arabidopsis thaliana, RGF1 is also implicated in the regulation of root meristem development and the maintenance of stem cell populations.",,,,,,,,,,,
SCN,AT2G03830,RGF8,"The RGF8 (Root Meristem Growth Factor 8) gene encodes a small signaling peptide involved in the regulation of root meristem development and the maintenance of stem cell populations. In Arabidopsis thaliana, RGF8 is specifically implicated in the control of root growth and development.",,,,,,,,,,,
SCN,AT5G17800,BRAVO,"The BRAVO (BRASSINOSTEROID-SIGNALING KINASES-VASCULAR ONE) gene encodes a receptor-like cytoplasmic kinase involved in the regulation of brassinosteroid signaling and vascular development. In Arabidopsis thaliana, BRAVO plays a role in the proper formation and differentiation of vascular tissues, such as xylem and phloem.",,,,,,,,,,,
SCN,AT3G20880,WIP4,"The WIP4 (Wound-Induced Protein 4) gene encodes a zinc-finger transcription factor involved in the regulation of various aspects of plant growth, development, and stress responses. In Arabidopsis thaliana, WIP4 is implicated in the regulation of responses to wounding and other abiotic stresses.",,,,,,,,,,,
Stele,AT5G48070,XTH20,"The XTH20 (Xyloglucan Endotransglucosylase/Hydrolase 20) gene encodes an enzyme involved in the modification of xyloglucans, which are hemicellulose polysaccharides found in plant cell walls. XTH20 is involved in cell wall loosening and remodeling, playing a role in plant growth and development.",,,,,,,,,,,
Stele,AT1G22710,SUC2,"The SUC2 (Sucrose Transporter 2) gene encodes a sucrose transporter protein that is responsible for the uptake and distribution of sucrose in plant cells. Sucrose is a major source of carbon and energy, and its transport is essential for plant growth and development.",,,,,,,,,,,
Stele,AT4G36710,HAM4,"The HAM4 (Hairy Meristem 4) gene encodes a transcription factor belonging to the GRAS family, which is involved in various aspects of plant growth and development, such as root and shoot meristem maintenance, and response to environmental signals.",,,,,,,,,,,
Stele,AT4G23800,3xHGM-box2,"The 3xHMG-box proteins, which are encoded by this gene, are plant-specific DNA-binding proteins that contain three HMG-box domains. These proteins are expressed during mitosis and interact with mitotic and meiotic chromosomes. The study suggests that the proteins may be involved in mitotic chromatin organization and potentially cooperate with the condensins during mitosis, but their specific function is not yet fully understood. The 3xHMG-box1 protein exhibits a preferential association with rDNA loci, which may be related to its interaction with nucleoli. The study also shows that ectopic expression of 3xHMG-box1 in interphase nuclei causes defects in plant growth and development.",,,,,,,,,,,
Stele,AT5G37660,PDLP7,"The PDLP7 (Plasmodesmata-Located Protein 7) gene encodes a protein localized to plasmodesmata, which are channels that connect adjacent plant cells and facilitate intercellular communication and transport. PDLP7 is involved in the regulation of plasmodesmata permeability and may play a role in plant development and responses to environmental cues.",,,,,,,,,,,
Stele,AT4G21310,AT4G21310,,,,,,,,,,,,
Stele,AT4G36710,SCL15,"SCL15: The SCL15 (Scarecrow-Like 15) gene encodes a transcription factor belonging to the GRAS family, which is involved in various aspects of plant growth and development, such as root and shoot meristem maintenance, and response to environmental signals.",,,,,,,,,,,
Stele,AT4G37650,SHR,"SHR: The SHR (Short-Root) gene encodes a transcription factor belonging to the GRAS family. It plays a crucial role in the radial patterning of the root, specifically in the development and maintenance of the root stem cell niche and the specification of the endodermis and cortex cell layers.",,,,,,,,,,,
Stele,AT2G01830,WOL,"The WOL (WOL-Related Receptor Kinase) gene encodes a receptor-like kinase involved in the regulation of various aspects of plant growth and development, particularly the control of vascular tissue development. In Arabidopsis thaliana, WOL plays a crucial role in the proper development of the root vasculature.",,,,,,,,,,,
stele mapping,AT3G48100,ARR5,"The ARR5 (Arabidopsis Response Regulator 5) gene encodes a transcription factor involved in the cytokinin signaling pathway, which regulates various aspects of plant growth and development, such as cell division and differentiation. ARR5 is implicated in the modulation of cytokinin-dependent processes in plants.",,,,,,,,,,,
stele mapping,AT3G23030,IAA2,"The IAA2 (Indole-3-Acetic Acid 2) gene encodes a protein involved in the auxin signaling pathway, which is crucial for the regulation of various aspects of plant growth and development, such as cell elongation, division, and differentiation. IAA2 is implicated in the modulation of auxin-dependent processes in plants.",,,,,,,,,,,
stele mapping,AT1G80100,AHP6,"The AHP6 (Arabidopsis Histidine Phosphotransfer Protein 6) gene encodes a protein involved in the cytokinin signaling pathway. AHP6 acts as a negative regulator of cytokinin signaling, modulating various cytokinin-dependent processes in plants, such as cell division, differentiation, and organ development",,,,,,,,,,,
stele mapping,AT4G32880,ATHB8,"The ATHB8 (Arabidopsis thaliana Homeobox 8) gene encodes a homeobox transcription factor involved in the regulation of various aspects of plant growth and development. In Arabidopsis thaliana, ATHB8 is specifically implicated in vascular tissue development, particularly the formation of xylem and phloem.",,,,,,,,,,,
stele mapping,AT1G73590,PIN1,"The PIN1 (PIN-FORMED 1) gene encodes an auxin efflux carrier protein involved in the regulation of auxin transport and distribution. PIN1 plays a crucial role in various aspects of plant growth and development, such as organogenesis, tropisms, and vascular tissue formation.",,,,,,,,,,,
stele mapping,AT1G70940,PIN3,"The PIN3 (PIN-FORMED 3) gene encodes an auxin efflux carrier protein, similar to PIN1. In Arabidopsis thaliana, PIN3 is specifically implicated in the control of root and hypocotyl gravitropism, as well as lateral root development.",,,,,,,,,,,
stele mapping,AT1G23080,PIN7,"The PIN7 (PIN-FORMED 7) gene encodes an auxin efflux carrier protein, similar to PIN1 and PIN3. PIN7 plays a role in various aspects of plant growth and development, such as embryogenesis, organogenesis, and tropisms.",,,,,,,,,,,
stele mapping,AT1G71930,VND7,"The VND7 (Vascular-Related NAC-Domain 7) gene encodes a transcription factor involved in the regulation of vascular tissue development, particularly the formation of xylem cells. In Arabidopsis thaliana, VND7 is specifically implicated in the differentiation of xylem vessel elements and the proper development of the vascular system.",,,,,,,,,,,
stele mapping,AT2G38120,Aux1,"he AUX1 (Auxin Resistant 1) gene encodes an auxin influx carrier protein involved in the regulation of auxin transport and distribution. AUX1 plays a crucial role in various aspects of plant growth and development, such as root gravitropism, lateral root formation, and vascular tissue differentiation.",,,,,,,,,,,
stele mapping,AT2G34710,PHB,"The PHB (Phabulosa) gene encodes a homeodomain-leucine zipper transcription factor involved in the regulation of various aspects of plant growth and development. In Arabidopsis thaliana, PHB is specifically implicated in the control of adaxial-abaxial polarity in developing leaves and floral organs.",,,,,,,,,,,
Trichoblast,AT1G03550,SCAMP2,"There is no research in plant biology regarding the SCAMP2 gene but its function as described in SCAMP2 as diagnostic and prognostic markers for acute myeloid leukemia, is that it is a co-expressed gene involved in the regulation of transcription and mRNA splicing via spliceosome In this context, SCAMP2 might play a role in the organization and cell differentiation in lateral root primordia, which precedes the appearance of a lateral root meristem and involves differential gene expression. However, this description is speculative, as there is no direct evidence linking SCAMP2 to lateral root primordia development in plants.",,,,,,,,,,,
Trichoblast,AT2G46380,AT2G46380,,,,,,,,,,,,
Trichoblast,AT3G51410,AT3G51410,,,,,,,,,,,,
Trichoblast,AT1G33090,AT1G33090,,,,,,,,,,,,
Trichoblast,AT3G09330,AT3G09330,,,,,,,,,,,,
Trichoblast,AT5G49270,COBL9,"COBL9: In Arabidopsis thaliana, the COBRA-Like 9 (COBL9) gene is involved in cellulose biosynthesis and plays a role in cell wall organization and structure, which ultimately affects plant growth and development.",,,,,,,,,,,
Trichoblast,AT1G48930,GH9C1,"GH9C1: The GH9C1 gene encodes a glycoside hydrolase family 9 protein, which is involved in the degradation of cellulose and hemicellulose. In plants, GH9C1 proteins play a role in cell wall remodeling and are important for plant growth and development.",,,,,,,,,,,
Trichoblast,AT1G69240,MES15,"MES15: In Arabidopsis thaliana, MES15 (Methylesterase 15) is a pectin methylesterase that is involved in cell wall modification. MES15 is responsible for the demethylesterification of pectin, which contributes to cell wall flexibility and impacts plant growth.",,,,,,,,,,,
Trichoblast,AT1G45545,WEL2,"WEL2: The WEL2 (Wax Ester Synthase 2) gene is involved in the synthesis of wax esters, which are important components of plant cuticles. Wax esters help protect plants from water loss and provide a barrier against pathogens.",,,,,,,,,,,
Trichoblast,AT1G55440,AT1G55440,,,,,,,,,,,,
Trichoblast,AT2G39690,AT2G39690,,,,,,,,,,,,
Trichoblast,AT1G07795,AT1G07795,,,,,,,,,,,,
Trichoblast,AT4G04760,AT4G04760,,,,,,,,,,,,
Trichoblast,AT3G60630,SCL22,"SCL22: In Arabidopsis thaliana, SCL22 (SCARECROW-LIKE 22) encodes a transcription factor that is involved in the regulation of root development. SCL22 is known to play a role in root meristem maintenance and is important for lateral root formation.",,,,,,,,,,,
Trichoblast,AT4G04930,DES-1-LIKE,"DES-1-LIKE: The DES-1-LIKE gene encodes a protein with a function similar to DES1 (Defective in Embryogenic Suspension 1) which is involved in the regulation of cell division and differentiation during plant development. Although specific information about DES-1-LIKE in Arabidopsis thaliana is limited, it is likely involved in similar developmental processes.",,,,,,,,,,,
Trichoblast,AT1G13950,ELF5A-1,"ELF5A-1: In Arabidopsis thaliana, ELF5A-1 (Elongation Factor 5A-1) is involved in protein synthesis and plays a role in regulating plant growth and development. It is involved in the regulation of cell expansion and division and is essential for proper plant development",,,,,,,,,,,
Trichoblast,AT2G03220,FUT1,"The FUT1 (Fucosyltransferase 1) gene encodes an enzyme involved in the biosynthesis of fucose-containing glycans, which play a role in cell wall structure, cell-cell communication, and plant development.",,,,,,,,,,,
Trichoblast,AT4G07960,CSLC12,"The CSLC12 (Cellulose Synthase-Like C12) gene is part of the cellulose synthase-like gene family involved in synthesizing non-cellulosic polysaccharides, such as hemicelluloses, contributing to cell wall structure and plant development.",,,,,,,,,,,
Trichoblast,AT4G25160,PUB35,"The PUB35 (Plant U-Box 35) gene encodes an E3 ubiquitin ligase involved in protein degradation and regulation of various cellular processes, including hormone signaling, stress responses, and plant development.",,,,,,,,,,,
Trichoblast,AT5G07450,CYCU4-2,"The CYCU4-2 (Cyclin U4-2) gene encodes a cyclin protein, which is involved in the regulation of cell cycle progression and plays a role in plant growth and development.",,,,,,,,,,,
Trichoblast,AT5G65160,TPR14,"The TPR14 (Tetratricopeptide Repeat 14) gene encodes a protein with tetratricopeptide repeat domains that typically function in protein-protein interactions, and may be involved in various cellular processes, such as stress responses, protein folding, and protein trafficking.",,,,,,,,,,,
Trichoblast,AT4G09500,UGT79B7,"The UGT79B7 (UDP-Glycosyltransferase 79B7) gene encodes an enzyme involved in the glycosylation of small molecules, such as secondary metabolites, which play roles in plant defense, signaling, and development.",,,,,,,,,,,
Trichoblast,AT3G46270,AT3G46270,,,,,,,,,,,,
Trichoblast,AT4G16920,AT4G16920,,,,,,,,,,,,
Trichoblast,AT1G07795,AT1G07795,,,,,,,,,,,,
LRPspecific,AT4G00430,PIP1;4,"Banda et al. TAIR: a member of the plasma membrane intrinsic protein subfamily PIP1. involved redundantly with PIP1;1/2/3/5 in hydraulics and carbon fixation, regulates the expression of related genes that affect plant growth and development.",,,,,,,,,,,
LRPspecific,AT2G28670,ESB1,"Banda et al. TAIR Encodes a protein of unknown function that is involved in formation of the casparian strip. ESB1 is localized to the casparian strip and this localization is depended on CASP1 and 2. esb1 mutants have increased levels of suberin, disordered casparian strip and altered levels of several ions in their leaves.",,,,,,,,,,,
LRPspecific,AT1G73590,PIN1,"Benkova et al. PIN1 polarity rearrangement from the transverse to the lateral sides of cells correlated with the establishment of the auxin gradient with its maximum at the primordium tip. This relationship is crucial for primordium development. When PIN1 relocation was prevented, no DR5 gradients were established, and only a massive division of pericycle cells without clear separation into primordia was observed. This suggests that the coordinated rearrangement of PIN1 correlates with DR5 gradients and correct primordium development.",,,,,,,,,,,
LRPspecific,AT5G57090,PIN2,Benkova et al. PIN2 was expressed only after primordium emergence with PIN2 localized in epidermis cells toward the base of the lateral root.,,,,,,,,,,,
LRPspecific,AT1G70940  ,PIN3,Benkova et al. PIN3 was expressed at the base of the primordium and from stage V on additionally in columella precursors of the newly forming meristem.,,,,,,,,,,,
LRPspecific,AT2G01420,PIN4,"Benkova et al. The PIN4 expression pattern was partially overlapping with PIN3, although more restricted to the margins. Later, its expression was detected in the meristem.",,,,,,,,,,,
LRPspecific,AT1G77110,PIN6,"Benkova et al. A newly isolated PIN gene, the primordia-specific PIN6, was also expressed from the earliest stages on. Later, its expression was detected exclusively in primordium margins. ",,,,,,,,,,,
LRPspecific,AT5G26930,GATA23,"De Rybel et al. GATA23 plays a key role in specifying pericycle cells to become lateral root founder cells prior to lateral root initiation. Its expression correlates with the auxin response oscillations in the basal meristem and is controlled by the auxin regulatory gene IAA28. GATA23 is specifically expressed in Xylem Pole Pericycle (XPP) cells before the first asymmetric division. A transgenic line expressing the GUS reporter under the regulation of the GATA23 promoter (termed pGATA23::GUS) showed expression to be root-specific and limited to pericycle cells at xylem poles. This expression was confined to early stages of lateral root formation, with strong expression in stage I and II primordia, reduced staining in stage III, and absence at later stages. The expression pattern suggests that GATA23 is involved in a process occurring prior to lateral root initiation. GATA23 controls lateral root founder cell identity. In the GATA23 RNAi line, there was a strong reduction in the number of stage I and II primordia and an overall decrease in the number of emerged and non-emerged primordia. In contrast, overexpression of GATA23 resulted in a significant increase in the amount of non-emerged primordia. This suggests that GATA23 promotes initiation by controlling founder cell identity of XPP cells. GATA23 expression in founder cells is correlated with oscillating auxin signaling maxima in the basal meristem. Synchronously germinated seedlings were evaluated for pDR5::GUS and pGATA23::GUS activity, indicating a relationship between GATA23 and auxin-responsive gene expression in the basal meristem. ",,,,,,,,,,,
LRPspecific,AT4G35550,ATWOX13,"Deveaux et al. AtWOX13 expression was detected during the early stages of lateral root (LR) formation in 10-day-old seedlings. The expression persisted during LR emergence. Initially, the expression was observed throughout the developing lateral root, but as the root developed, the expression became progressively restricted. It was particularly strong in the columella and the adjacent lateral root cap cells at a later developmental stage. In mature lateral roots or primary roots of 10-day-old seedlings, no expression was detected within the root tip. he expression pattern of AtWOX13 during plant development was further explored. In 5-day-old seedlings, AtWOX13 promoter activity was strong in both the cotyledon and root vasculatures, the pericycle, and in the stem cells of the primary root meristem. No GUS staining (indicative of gene expression) was detected in the division zone of the root. In the vegetative apex of 10-day-old seedlings, a strong expression was observed in the leaf primordia. ",,,,,,,,,,,
LRPspecific,AT4G37650,SHR,"Deveaux et al. important stem cell niche regulators, including PLTs, SHR, SCR, and WOX5, are mostly all expressed at stage III/IV",,,,,,,,,,,
LRPspecific,AT3G54220,SCR,"Deveaux et al. important stem cell niche regulators, including PLTs, SHR, SCR, and WOX5, are mostly all expressed at stage III/IV",,,,,,,,,,,
LRPspecific,AT3G11260,WOX5,"Deveaux et al. important stem cell niche regulators, including PLTs, SHR, SCR, and WOX5, are mostly all expressed at stage III/IV",,,,,,,,,,,
LRPspecific,AT1G73590,PIN1,"Deveaux et al. are related to auxin transport proteins in the PINFORMED (PIN) family. In the primary root meristem, the maintenance of PIN gene expression has been shown to require PLT proteins. ",,,,,,,,,,,
LRPspecific,AT1G70940,PIN3,"Deveaux et al. are related to auxin transport proteins in the PINFORMED (PIN) family. In the primary root meristem, the maintenance of PIN gene expression has been shown to require PLT proteins. ",,,,,,,,,,,
LRPspecific,AT5G10510,PLT3,"Deveaux et al. are critical for formative cell divisions in LRP. They are required for the formative divisions that split inner and outer cell layers in stage II primordia and the establishment of differential gene expression in these layers. They also play a role in the activation of late PLT1, PLT2, and PLT4 genes",,,,,,,,,,,
LRPspecific,AT5G57390,PLT5,"Deveaux et al. are critical for formative cell divisions in LRP. They are required for the formative divisions that split inner and outer cell layers in stage II primordia and the establishment of differential gene expression in these layers. They also play a role in the activation of late PLT1, PLT2, and PLT4 genes",,,,,,,,,,,
LRPspecific,AT5G65510,PLT7,"Deveaux et al. are critical for formative cell divisions in LRP. They are required for the formative divisions that split inner and outer cell layers in stage II primordia and the establishment of differential gene expression in these layers. They also play a role in the activation of late PLT1, PLT2, and PLT4 genes",,,,,,,,,,,
LRPspecific,AT3G20840  ,PLT1,"Deveaux P et al. are expressed at later developmental stages in WT LRP than PLT3, PLT5, and PLT7. They play a role in stem cell maintenance and the position of the meristematic boundary. The PLT1 and PLT2 transcription factors are main regulators of primary root meristem maintenance. ",,,,,,,,,,,
LRPspecific,AT1G51190,PLT2,"Deveaux P et al. are expressed at later developmental stages in WT LRP than PLT3, PLT5, and PLT7. They play a role in stem cell maintenance and the position of the meristematic boundary. The PLT1 and PLT2 transcription factors are main regulators of primary root meristem maintenance. ",,,,,,,,,,,
LRPspecific,AT5G17430,PLT4,"Deveaux P et al. are expressed at later developmental stages in WT LRP than PLT3, PLT5, and PLT7. They play a role in stem cell maintenance and the position of the meristematic boundary. The PLT1 and PLT2 transcription factors are main regulators of primary root meristem maintenance. ",,,,,,,,,,,
LRPspecific,AT1G34670,AtMYB93,"Gibs et al. Relative gene expression of AtMYB92, AtMYB53, and AtMYB93 over time in developing LRP was analyzed after initiating LRPs with a gravity stimulus. All three genes are up-regulated during the early stages of LR development and are down-regulated again at later time-points. The induction was particularly strong for AtMYB93, which showed more than an 8000-fold increase by 27 hours.",,,,,,,,,,,
LRPspecific,AT5G18560,PUCHI,"Goh et al. PUCHI is required for LR primordium patterning, and its expression is initiated after the first round of asymmetric cell division of LR founder cells.",,,,,,,,,,,
LRPspecific,AT2G42430,LBD16,"Goh et al. LBD16, an auxin-inducible transcription factor, is a key regulator linking auxin response in lateral root (LR) founder cells to LR initiation. LBD16 activity is required for the auxin-inducible expression of PUCHI. The spatial pattern of PUCHI expression overlaps with that of LBD16 in the stage I primordium after the first asymmetric cell division.",,,,,,,,,,,
LRPspecific,AT1G20700,atWOX14,Dubrovsky et al.,,,,,,,,,,,
LRPspecific,AT5G54380,THESEUS1,"Goneau et al. Interestingly, loss-of-function alleles the1-1 and the1-6 also showed an increased proportion of stage 1 lateral root primordia, relative to the wild-type (WT) and atypical stage 1 lateral root primordia displaying extra anticlinal pericycle cell divisions.""",,,,,,,,,,,
LRPspecific,AT5G67070,RALF34,"Goneau et al. ""Consistent with the expression pattern in the root, RALF34 plays a role in lateral root initiation [9]. Speciﬁcally, ralf34 partial loss-of-function mutants showed an increased density and irregular spacing of stage 1 lateral root primordia as well as aberrant formative asymmetric pericycle cell divisions.",,,,,,,,,,,
LRPspecific,AT1G80390  ,IAA15,Kim et al.,,,,,,,,,,,
LRPspecific,AT5G05770,Wox7,"Kong et al. ""GUS activity in Stage I and II. This difference became less obvious at Stage III to V and was even reversed at Stage VI. These results suggest that WOX7 represses lateral root initiation and early primordia growth but has no effect on later stages of lateral root development."" ""To determine how WOX7 specifically regulates early stages of lateral root development, we examined in detail the expression pattern of the WOX7pro:GUS transcriptional reporter construct during lateral root development."" ""The expression pattern of the WOX7pro:GUS construct explains why WOX is primarily involved at early stages of lateral root development.""",,,,,,,,,,,
LRPspecific,AT5G15100,PIN8,"Lee at al""Expression levels of PIN8 are related to lateral root (LR) density.""",,,,,,,,,,,
LRPspecific,AT2G23660  ,LBD10,Malay et al.,,,,,,,,,,,
LRPspecific,AT1G80100,APH6,"Moreira etal.,2013. ",,,,,,,,,,,
